2022-11-15 15:15:20,480 - root - INFO - We are starting the data analysis in Jupyter Notebook
2022-11-15 15:15:34,610 - matplotlib.pyplot - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2022-11-15 15:15:34,613 - root - INFO - We are starting the data analysis in Jupyter Notebook
2022-11-15 15:15:34,613 - root - INFO - We are starting the data analysis in Jupyter Notebook
2022-11-15 15:15:35,232 - root - INFO - From here we will analyze the data
2022-11-15 15:15:35,232 - root - INFO - From here we will analyze the data
2022-11-15 15:15:37,226 - root - INFO - Using visualization for better undertanding
2022-11-15 15:15:37,226 - root - INFO - Using visualization for better undertanding
2022-11-15 15:15:37,624 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2022-11-15 15:15:37,632 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-15 15:15:37,632 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2022-11-15 15:15:37,632 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2022-11-15 15:15:37,633 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2022-11-15 15:15:37,633 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2022-11-15 15:15:37,633 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-11-15 15:15:37,633 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-11-15 15:15:37,634 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-15 15:15:37,634 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-15 15:15:37,635 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,635 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,635 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,635 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,636 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-15 15:15:37,636 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-15 15:15:37,636 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2022-11-15 15:15:37,636 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2022-11-15 15:15:37,636 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-15 15:15:37,636 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-15 15:15:37,636 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-15 15:15:37,636 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-15 15:15:37,637 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
